As of,Rank,Year to Date Rank,Last Week Rank,Title,Type,Netflix Exclusive,Netflix Release Date,Days In Top 10,Viewership Score
27-05-2021,4,4,7,Cocomelon,TV Show,,"Jun 1, 2020",216,716
27-05-2021,5,5,-,Jurassic World: Camp Cretac…,TV Show,Yes,"Sep 18, 2020",23,144
27-05-2021,6,6,5,StartUp,TV Show,,"May 4, 2021",18,82
27-05-2021,7,9,6,The Mitchells vs. The Machines,Movie,Yes,"Apr 30, 2021",27,195
27-05-2021,8,7,3,The Upshaws,TV Show,Yes,"May 12, 2021",15,106
27-05-2021,9,8,4,Jupiterâs Legacy,TV Show,Yes,"May 7, 2021",20,139
27-05-2021,10,10,-,Sabotage,Movie,,"May 19, 2021",7,26
28-05-2021,1,2,-,Home,Movie,,"May 25, 2021",3,28
28-05-2021,2,1,-,Army of the Dead,Movie,Yes,"May 21, 2021",7,69
28-05-2021,3,-,-,Blue Miracle,Movie,Yes,"May 27, 2021",1,8
28-05-2021,4,-,-,Ragnarok,TV Show,Yes,"Jan 31, 2020",1,7
28-05-2021,5,3,1,Who Killed Sara?,TV Show,Yes,"Mar 24, 2021",37,279
28-05-2021,6,4,7,Cocomelon,TV Show,,"Jun 1, 2020",217,721
28-05-2021,7,7,8,The Mitchells vs. The Machines,Movie,Yes,"Apr 30, 2021",28,199
28-05-2021,8,5,-,Jurassic World: Camp Cretac…,TV Show,Yes,"Sep 18, 2020",24,147
28-05-2021,9,6,5,StartUp,TV Show,,"May 4, 2021",19,84
28-05-2021,10,8,3,The Upshaws,TV Show,Yes,"May 12, 2021",16,107
29-05-2021,1,-,-,Lucifer,TV Show,,"Dec 15, 2018",21,146
29-05-2021,2,1,-,Home,Movie,,"May 25, 2021",4,37
29-05-2021,3,-,-,Dog Gone Trouble,Movie,Yes,"May 28, 2021",1,8
29-05-2021,4,2,1,Army of the Dead,Movie,Yes,"May 21, 2021",8,76
29-05-2021,5,3,-,Blue Miracle,Movie,Yes,"May 27, 2021",2,14
29-05-2021,6,4,-,Ragnarok,TV Show,Yes,"Jan 31, 2020",2,12
29-05-2021,7,-,-,The Kominsky Method,TV Show,Yes,"Nov 16, 2018",1,4
29-05-2021,8,6,7,Cocomelon,TV Show,,"Jun 1, 2020",218,724
29-05-2021,9,5,2,Who Killed Sara?,TV Show,Yes,"Mar 24, 2021",38,281
29-05-2021,10,7,6,The Mitchells vs. The Machines,Movie,Yes,"Apr 30, 2021",29,200
30-05-2021,1,1,-,Lucifer,TV Show,,"Dec 15, 2018",23,166
30-05-2021,2,3,-,Dog Gone Trouble,Movie,Yes,"May 28, 2021",2,17
30-05-2021,3,2,-,Home,Movie,,"May 25, 2021",5,45
30-05-2021,4,4,1,Army of the Dead,Movie,Yes,"May 21, 2021",9,83
30-05-2021,5,5,-,Blue Miracle,Movie,Yes,"May 27, 2021",3,20
30-05-2021,6,6,-,Ragnarok,TV Show,Yes,"Jan 31, 2020",3,17
30-05-2021,7,7,-,The Kominsky Method,TV Show,Yes,"Nov 16, 2018",2,8
30-05-2021,8,8,8,Cocomelon,TV Show,,"Jun 1, 2020",219,727
30-05-2021,9,10,5,The Mitchells vs. The Machines,Movie,Yes,"Apr 30, 2021",30,202
30-05-2021,10,9,2,Who Killed Sara?,TV Show,Yes,"Mar 24, 2021",39,282
31-05-2021,1,1,-,Lucifer,TV Show,,"Dec 15, 2018",24,176
31-05-2021,2,2,-,Dog Gone Trouble,Movie,Yes,"May 28, 2021",3,26
31-05-2021,3,3,-,Home,Movie,,"May 25, 2021",6,53
31-05-2021,4,5,-,Blue Miracle,Movie,Yes,"May 27, 2021",4,27
31-05-2021,5,4,1,Army of the Dead,Movie,Yes,"May 21, 2021",10,89
31-05-2021,6,6,-,Ragnarok,TV Show,Yes,"Jan 31, 2020",4,22
31-05-2021,7,7,-,The Kominsky Method,TV Show,Yes,"Nov 16, 2018",3,12
31-05-2021,8,8,10,Cocomelon,TV Show,,"Jun 1, 2020",220,730
31-05-2021,9,9,6,The Mitchells vs. The Machines,Movie,Yes,"Apr 30, 2021",31,204
31-05-2021,10,10,2,Who Killed Sara?,TV Show,Yes,"Mar 24, 2021",40,283
01-06-2021,1,1,-,Lucifer,TV Show,,"Dec 15, 2018",25,186
01-06-2021,2,2,-,Dog Gone Trouble,Movie,Yes,"May 28, 2021",4,35
01-06-2021,3,3,-,Home,Movie,,"May 25, 2021",7,61
01-06-2021,4,4,-,Blue Miracle,Movie,Yes,"May 27, 2021",5,34
01-06-2021,5,5,1,Army of the Dead,Movie,Yes,"May 21, 2021",11,95
01-06-2021,6,-,-,Dirty John,TV Show,,"Nov 25, 2019",1,5
01-06-2021,7,6,-,Ragnarok,TV Show,Yes,"Jan 31, 2020",5,26
01-06-2021,8,7,-,The Kominsky Method,TV Show,Yes,"Nov 16, 2018",4,15
01-06-2021,9,8,10,Cocomelon,TV Show,,"Jun 1, 2020",221,732
01-06-2021,10,10,2,Who Killed Sara?,TV Show,Yes,"Mar 24, 2021",41,284
02-06-2021,1,1,-,Lucifer,TV Show,,"Dec 15, 2018",26,196
02-06-2021,2,2,-,Dog Gone Trouble,Movie,Yes,"May 28, 2021",5,44
02-06-2021,3,6,-,Dirty John,TV Show,,"Nov 25, 2019",2,13
02-06-2021,4,3,2,Home,Movie,,"May 25, 2021",8,68
02-06-2021,5,9,4,Cocomelon,TV Show,,"Jun 1, 2020",222,738
02-06-2021,6,4,-,Blue Miracle,Movie,Yes,"May 27, 2021",6,39
02-06-2021,7,5,1,Army of the Dead,Movie,Yes,"May 21, 2021",12,99
02-06-2021,8,7,-,Ragnarok,TV Show,Yes,"Jan 31, 2020",6,29
02-06-2021,9,8,-,The Kominsky Method,TV Show,Yes,"Nov 16, 2018",5,17
02-06-2021,10,10,3,Who Killed Sara?,TV Show,Yes,"Mar 24, 2021",42,285
03-06-2021,1,1,-,Lucifer,TV Show,,"Dec 15, 2018",27,206
03-06-2021,2,2,-,Dog Gone Trouble,Movie,Yes,"May 28, 2021",6,53
03-06-2021,3,3,-,Dirty John,TV Show,,"Nov 25, 2019",3,21
03-06-2021,4,4,2,Home,Movie,,"May 25, 2021",9,75
03-06-2021,5,5,4,Cocomelon,TV Show,,"Jun 1, 2020",223,744
03-06-2021,6,-,-,2 Hearts,Movie,,"Jun 2, 2021",1,5
03-06-2021,7,8,-,Ragnarok,TV Show,Yes,"Jan 31, 2020",7,33
03-06-2021,8,7,1,Army of the Dead,Movie,Yes,"May 21, 2021",13,102
03-06-2021,9,6,-,Blue Miracle,Movie,Yes,"May 27, 2021",7,41
03-06-2021,10,9,-,The Kominsky Method,TV Show,Yes,"Nov 16, 2018",6,18
04-06-2021,1,1,-,Lucifer,TV Show,,"Dec 15, 2018",28,216
04-06-2021,2,3,-,Dirty John,TV Show,,"Nov 25, 2019",4,30
04-06-2021,3,2,-,Dog Gone Trouble,Movie,Yes,"May 28, 2021",7,61
04-06-2021,4,4,1,Home,Movie,,"May 25, 2021",10,82
04-06-2021,5,6,-,2 Hearts,Movie,,"Jun 2, 2021",2,11
04-06-2021,6,5,6,Cocomelon,TV Show,,"Jun 1, 2020",224,749
04-06-2021,7,7,4,Ragnarok,TV Show,Yes,"Jan 31, 2020",8,37
04-06-2021,8,8,2,Army of the Dead,Movie,Yes,"May 21, 2021",14,105
04-06-2021,9,9,3,Blue Miracle,Movie,Yes,"May 27, 2021",8,43
04-06-2021,10,-,-,Kim's Convenience,TV Show,Yes,"Jul 13, 2018",1,1
05-06-2021,1,1,1,Lucifer,TV Show,,"Dec 15, 2018",29,226
05-06-2021,2,-,-,Sweet Tooth,TV Show,Yes,"Jun 4, 2021",1,9
05-06-2021,3,2,-,Dirty John,TV Show,,"Nov 25, 2019",5,38
05-06-2021,4,3,3,Dog Gone Trouble,Movie,Yes,"May 28, 2021",8,68
05-06-2021,5,4,2,Home,Movie,,"May 25, 2021",11,88
05-06-2021,6,6,8,Cocomelon,TV Show,,"Jun 1, 2020",225,754
05-06-2021,7,5,-,2 Hearts,Movie,,"Jun 2, 2021",3,15
05-06-2021,8,8,4,Army of the Dead,Movie,Yes,"May 21, 2021",15,108
05-06-2021,9,-,-,Monsters vs. Aliens,Movie,,"Jun 1, 2021",1,2
05-06-2021,10,10,-,Kim's Convenience,TV Show,Yes,"Jul 13, 2018",2,2
06-06-2021,1,2,-,Sweet Tooth,TV Show,Yes,"Jun 4, 2021",2,19
06-06-2021,2,1,1,Lucifer,TV Show,,"Dec 15, 2018",30,235
06-06-2021,3,3,-,Dirty John,TV Show,,"Nov 25, 2019",6,46
06-06-2021,4,7,-,2 Hearts,Movie,,"Jun 2, 2021",4,22
06-06-2021,5,4,2,Dog Gone Trouble,Movie,Yes,"May 28, 2021",9,74
06-06-2021,6,5,3,Home,Movie,,"May 25, 2021",12,93
06-06-2021,7,6,8,Cocomelon,TV Show,,"Jun 1, 2020",226,758
06-06-2021,8,-,-,Xtreme,Movie,Yes,"Jun 4, 2021",1,3
06-06-2021,9,8,4,Army of the Dead,Movie,Yes,"May 21, 2021",16,110
06-06-2021,10,9,-,Monsters vs. Aliens,Movie,,"Jun 1, 2021",2,3
07-06-2021,1,1,-,Sweet Tooth,TV Show,Yes,"Jun 4, 2021",3,29
07-06-2021,2,2,1,Lucifer,TV Show,,"Dec 15, 2018",31,244
07-06-2021,3,4,-,2 Hearts,Movie,,"Jun 2, 2021",5,30
07-06-2021,4,3,-,Dirty John,TV Show,,"Nov 25, 2019",7,53
07-06-2021,5,7,8,Cocomelon,TV Show,,"Jun 1, 2020",227,764
07-06-2021,6,6,3,Home,Movie,,"May 25, 2021",13,98
07-06-2021,7,5,2,Dog Gone Trouble,Movie,Yes,"May 28, 2021",10,78
07-06-2021,8,8,-,Xtreme,Movie,Yes,"Jun 4, 2021",2,6
07-06-2021,9,9,5,Army of the Dead,Movie,Yes,"May 21, 2021",17,112
07-06-2021,10,10,-,Monsters vs. Aliens,Movie,,"Jun 1, 2021",3,4
08-06-2021,1,1,-,Sweet Tooth,TV Show,Yes,"Jun 4, 2021",4,39
08-06-2021,2,2,1,Lucifer,TV Show,,"Dec 15, 2018",32,253
08-06-2021,3,3,-,2 Hearts,Movie,,"Jun 2, 2021",6,38
08-06-2021,4,4,6,Dirty John,TV Show,,"Nov 25, 2019",8,60
08-06-2021,5,5,9,Cocomelon,TV Show,,"Jun 1, 2020",228,770
08-06-2021,6,6,3,Home,Movie,,"May 25, 2021",14,103
08-06-2021,7,7,2,Dog Gone Trouble,Movie,Yes,"May 28, 2021",11,82
08-06-2021,8,8,-,Xtreme,Movie,Yes,"Jun 4, 2021",3,9
08-06-2021,9,10,-,Monsters vs. Aliens,Movie,,"Jun 1, 2021",4,6
08-06-2021,10,-,-,Bo Burnham: Inside,Stand-Up Comedy,Yes,"May 30, 2021",1,1
09-06-2021,1,1,-,Sweet Tooth,TV Show,Yes,"Jun 4, 2021",5,49
09-06-2021,2,2,1,Lucifer,TV Show,,"Dec 15, 2018",33,262
09-06-2021,3,3,-,2 Hearts,Movie,,"Jun 2, 2021",7,46
09-06-2021,4,4,3,Dirty John,TV Show,,"Nov 25, 2019",9,67
09-06-2021,5,5,5,Cocomelon,TV Show,,"Jun 1, 2020",229,776
09-06-2021,6,6,4,Home,Movie,,"May 25, 2021",15,108
09-06-2021,7,7,2,Dog Gone Trouble,Movie,Yes,"May 28, 2021",12,86
09-06-2021,8,8,-,Xtreme,Movie,Yes,"Jun 4, 2021",4,12
09-06-2021,9,9,-,Monsters vs. Aliens,Movie,,"Jun 1, 2021",5,8
09-06-2021,10,-,7,Army of the Dead,Movie,Yes,"May 21, 2021",18,113
10-06-2021,1,1,-,Sweet Tooth,TV Show,Yes,"Jun 4, 2021",6,59
10-06-2021,2,-,-,Awake,Movie,Yes,"Jun 9, 2021",1,9
10-06-2021,3,2,1,Lucifer,TV Show,,"Dec 15, 2018",34,270
10-06-2021,4,5,5,Cocomelon,TV Show,,"Jun 1, 2020",230,783
10-06-2021,5,4,3,Dirty John,TV Show,,"Nov 25, 2019",10,73
10-06-2021,6,3,6,2 Hearts,Movie,,"Jun 2, 2021",8,51
10-06-2021,7,6,4,Home,Movie,,"May 25, 2021",16,112
10-06-2021,8,7,2,Dog Gone Trouble,Movie,Yes,"May 28, 2021",13,89
10-06-2021,9,9,-,Monsters vs. Aliens,Movie,,"Jun 1, 2021",6,10
10-06-2021,10,-,-,Bo Burnham: Inside,Stand-Up Comedy,Yes,"May 30, 2021",2,2
11-06-2021,1,1,-,Sweet Tooth,TV Show,Yes,"Jun 4, 2021",7,69
11-06-2021,2,2,-,Awake,Movie,Yes,"Jun 9, 2021",2,18
11-06-2021,3,-,-,Manifest,TV Show,,"Jun 10, 2021",1,8
11-06-2021,4,3,1,Lucifer,TV Show,,"Dec 15, 2018",35,277
11-06-2021,5,4,6,Cocomelon,TV Show,,"Jun 1, 2020",231,789
11-06-2021,6,5,2,Dirty John,TV Show,,"Nov 25, 2019",11,78
11-06-2021,7,6,5,2 Hearts,Movie,,"Jun 2, 2021",9,55
11-06-2021,8,7,4,Home,Movie,,"May 25, 2021",17,115
11-06-2021,9,8,3,Dog Gone Trouble,Movie,Yes,"May 28, 2021",14,91
11-06-2021,10,-,-,L.A.'s Finest,TV Show,,"Jan 5, 2021",14,68
12-06-2021,1,1,2,Sweet Tooth,TV Show,Yes,"Jun 4, 2021",8,79
12-06-2021,2,3,-,Manifest,TV Show,,"Jun 10, 2021",2,17
12-06-2021,3,2,-,Awake,Movie,Yes,"Jun 9, 2021",3,26
12-06-2021,4,-,-,Wish Dragon,Movie,Yes,"Jun 11, 2021",1,7
12-06-2021,5,-,-,Lupin,TV Show,Yes,"Jan 8, 2021",15,93
12-06-2021,6,5,6,Cocomelon,TV Show,,"Jun 1, 2020",232,794
12-06-2021,7,4,1,Lucifer,TV Show,,"Dec 15, 2018",36,281
12-06-2021,8,8,5,Home,Movie,,"May 25, 2021",18,118
12-06-2021,9,10,-,L.A.'s Finest,TV Show,,"Jan 5, 2021",15,70
12-06-2021,10,7,7,2 Hearts,Movie,,"Jun 2, 2021",10,56
13-06-2021,1,2,-,Manifest,TV Show,,"Jun 10, 2021",3,27
13-06-2021,2,1,1,Sweet Tooth,TV Show,Yes,"Jun 4, 2021",9,88
13-06-2021,3,4,-,Wish Dragon,Movie,Yes,"Jun 11, 2021",2,15
13-06-2021,4,3,-,Awake,Movie,Yes,"Jun 9, 2021",4,33
13-06-2021,5,5,-,Lupin,TV Show,Yes,"Jan 8, 2021",16,99
13-06-2021,6,6,7,Cocomelon,TV Show,,"Jun 1, 2020",233,799
13-06-2021,7,7,2,Lucifer,TV Show,,"Dec 15, 2018",37,285
13-06-2021,8,9,-,L.A.'s Finest,TV Show,,"Jan 5, 2021",16,73
13-06-2021,9,8,6,Home,Movie,,"May 25, 2021",19,120
13-06-2021,10,10,4,2 Hearts,Movie,,"Jun 2, 2021",11,57
14-06-2021,1,1,-,Manifest,TV Show,,"Jun 10, 2021",4,37
14-06-2021,2,2,1,Sweet Tooth,TV Show,Yes,"Jun 4, 2021",10,97
14-06-2021,3,3,-,Wish Dragon,Movie,Yes,"Jun 11, 2021",3,23
14-06-2021,4,4,-,Awake,Movie,Yes,"Jun 9, 2021",5,40
14-06-2021,5,5,-,Lupin,TV Show,Yes,"Jan 8, 2021",17,105
14-06-2021,6,6,5,Cocomelon,TV Show,,"Jun 1, 2020",234,804
14-06-2021,7,7,2,Lucifer,TV Show,,"Dec 15, 2018",38,289
14-06-2021,8,8,-,L.A.'s Finest,TV Show,,"Jan 5, 2021",17,76
14-06-2021,9,-,-,A Haunted House 2,Movie,,"Jun 10, 2021",1,2
14-06-2021,10,9,6,Home,Movie,,"May 25, 2021",20,121
15-06-2021,1,1,-,Manifest,TV Show,,"Jun 10, 2021",5,47
15-06-2021,2,3,-,Wish Dragon,Movie,Yes,"Jun 11, 2021",4,32
15-06-2021,3,2,1,Sweet Tooth,TV Show,Yes,"Jun 4, 2021",11,105
15-06-2021,4,5,-,Lupin,TV Show,Yes,"Jan 8, 2021",18,112
15-06-2021,5,4,-,Awake,Movie,Yes,"Jun 9, 2021",6,46
15-06-2021,6,6,5,Cocomelon,TV Show,,"Jun 1, 2020",235,809
15-06-2021,7,7,2,Lucifer,TV Show,,"Dec 15, 2018",39,293
15-06-2021,8,8,-,L.A.'s Finest,TV Show,,"Jan 5, 2021",18,79
15-06-2021,9,9,-,A Haunted House 2,Movie,,"Jun 10, 2021",2,4
15-06-2021,10,-,-,The Devil Below,Movie,,"Jun 13, 2021",1,1
16-06-2021,1,1,-,Manifest,TV Show,,"Jun 10, 2021",6,57
16-06-2021,2,2,-,Wish Dragon,Movie,Yes,"Jun 11, 2021",5,41
16-06-2021,3,3,1,Sweet Tooth,TV Show,Yes,"Jun 4, 2021",12,113
16-06-2021,4,4,-,Lupin,TV Show,Yes,"Jan 8, 2021",19,119
16-06-2021,5,-,-,Workinâ Moms,TV Show,Yes,"Feb 22, 2019",7,34
16-06-2021,6,6,5,Cocomelon,TV Show,,"Jun 1, 2020",236,814
16-06-2021,7,7,2,Lucifer,TV Show,,"Dec 15, 2018",40,297
16-06-2021,8,5,-,Awake,Movie,Yes,"Jun 9, 2021",7,49
16-06-2021,9,8,-,L.A.'s Finest,TV Show,,"Jan 5, 2021",19,81
16-06-2021,10,10,-,The Devil Below,Movie,,"Jun 13, 2021",2,2
17-06-2021,1,1,-,Manifest,TV Show,,"Jun 10, 2021",7,67
17-06-2021,2,2,-,Wish Dragon,Movie,Yes,"Jun 11, 2021",6,50
17-06-2021,3,3,1,Sweet Tooth,TV Show,Yes,"Jun 4, 2021",13,121
17-06-2021,4,5,-,Workinâ Moms,TV Show,Yes,"Feb 22, 2019",8,41
17-06-2021,5,4,-,Lupin,TV Show,Yes,"Jan 8, 2021",20,125
17-06-2021,6,6,4,Cocomelon,TV Show,,"Jun 1, 2020",237,819
17-06-2021,7,7,3,Lucifer,TV Show,,"Dec 15, 2018",41,301
17-06-2021,8,10,-,The Devil Below,Movie,,"Jun 13, 2021",3,5
17-06-2021,9,9,-,L.A.'s Finest,TV Show,,"Jan 5, 2021",20,83
17-06-2021,10,8,2,Awake,Movie,Yes,"Jun 9, 2021",8,50
18-06-2021,1,1,3,Manifest,TV Show,,"Jun 10, 2021",8,77
18-06-2021,2,2,-,Wish Dragon,Movie,Yes,"Jun 11, 2021",7,59
18-06-2021,3,3,1,Sweet Tooth,TV Show,Yes,"Jun 4, 2021",14,129
18-06-2021,4,4,-,Workinâ Moms,TV Show,Yes,"Feb 22, 2019",9,48
18-06-2021,5,6,5,Cocomelon,TV Show,,"Jun 1, 2020",238,825
18-06-2021,6,5,-,Lupin,TV Show,Yes,"Jan 8, 2021",21,130
18-06-2021,7,-,-,Black Summer,TV Show,Yes,"Apr 11, 2019",1,4
18-06-2021,8,7,4,Lucifer,TV Show,,"Dec 15, 2018",42,304
18-06-2021,9,-,-,Ragnarok,TV Show,Yes,"Jan 31, 2020",9,39
18-06-2021,10,9,10,L.A.'s Finest,TV Show,,"Jan 5, 2021",21,84
19-06-2021,1,-,-,Fatherhood,Movie,Yes,"Jun 18, 2021",1,10
19-06-2021,2,1,2,Manifest,TV Show,,"Jun 10, 2021",9,86
19-06-2021,3,2,4,Wish Dragon,Movie,Yes,"Jun 11, 2021",8,67
19-06-2021,4,3,1,Sweet Tooth,TV Show,Yes,"Jun 4, 2021",15,136
19-06-2021,5,5,6,Cocomelon,TV Show,,"Jun 1, 2020",239,831
19-06-2021,6,4,-,Workinâ Moms,TV Show,Yes,"Feb 22, 2019",10,53
19-06-2021,7,7,-,Black Summer,TV Show,Yes,"Apr 11, 2019",2,8
19-06-2021,8,-,-,Ãlite,TV Show,Yes,"Oct 5, 2018",1,3
19-06-2021,9,9,-,Ragnarok,TV Show,Yes,"Jan 31, 2020",10,41
19-06-2021,10,6,5,Lupin,TV Show,Yes,"Jan 8, 2021",22,131
20-06-2021,1,1,-,Fatherhood,Movie,Yes,"Jun 18, 2021",2,20
20-06-2021,2,2,1,Manifest,TV Show,,"Jun 10, 2021",10,95
20-06-2021,3,3,3,Wish Dragon,Movie,Yes,"Jun 11, 2021",9,75
20-06-2021,4,4,2,Sweet Tooth,TV Show,Yes,"Jun 4, 2021",16,143
20-06-2021,5,7,-,Black Summer,TV Show,Yes,"Apr 11, 2019",3,14
20-06-2021,6,8,-,Ãlite,TV Show,Yes,"Oct 5, 2018",2,8
20-06-2021,7,5,6,Cocomelon,TV Show,,"Jun 1, 2020",240,835
20-06-2021,8,6,-,Workinâ Moms,TV Show,Yes,"Feb 22, 2019",11,56
20-06-2021,9,9,-,Ragnarok,TV Show,Yes,"Jan 31, 2020",11,43
20-06-2021,10,10,5,Lupin,TV Show,Yes,"Jan 8, 2021",23,132
21-06-2021,1,1,-,Fatherhood,Movie,Yes,"Jun 18, 2021",3,30
21-06-2021,2,2,1,Manifest,TV Show,,"Jun 10, 2021",11,104
21-06-2021,3,3,3,Wish Dragon,Movie,Yes,"Jun 11, 2021",10,83
21-06-2021,4,4,2,Sweet Tooth,TV Show,Yes,"Jun 4, 2021",17,150
21-06-2021,5,5,-,Black Summer,TV Show,Yes,"Apr 11, 2019",4,20
21-06-2021,6,6,-,Ãlite,TV Show,Yes,"Oct 5, 2018",3,13
21-06-2021,7,7,6,Cocomelon,TV Show,,"Jun 1, 2020",241,839
21-06-2021,8,-,-,The Worldâs Most Amazing Va…,TV Show,Yes,"Jun 18, 2021",1,3
21-06-2021,9,8,-,Workinâ Moms,TV Show,Yes,"Feb 22, 2019",12,58
21-06-2021,10,9,-,Ragnarok,TV Show,Yes,"Jan 31, 2020",12,44
22-06-2021,1,1,-,Fatherhood,Movie,Yes,"Jun 18, 2021",4,40
22-06-2021,2,2,1,Manifest,TV Show,,"Jun 10, 2021",12,113
22-06-2021,3,3,2,Wish Dragon,Movie,Yes,"Jun 11, 2021",11,91
22-06-2021,4,4,3,Sweet Tooth,TV Show,Yes,"Jun 4, 2021",18,157
22-06-2021,5,6,-,Ãlite,TV Show,Yes,"Oct 5, 2018",4,19
22-06-2021,6,7,6,Cocomelon,TV Show,,"Jun 1, 2020",242,844
22-06-2021,7,5,-,Black Summer,TV Show,Yes,"Apr 11, 2019",5,24
22-06-2021,8,9,-,Workinâ Moms,TV Show,Yes,"Feb 22, 2019",13,61
22-06-2021,9,8,-,The Worldâs Most Amazing Va…,TV Show,Yes,"Jun 18, 2021",2,5
22-06-2021,10,10,-,Ragnarok,TV Show,Yes,"Jan 31, 2020",13,45
23-06-2021,1,1,-,Fatherhood,Movie,Yes,"Jun 18, 2021",5,50
23-06-2021,2,2,1,Manifest,TV Show,,"Jun 10, 2021",13,122
23-06-2021,3,3,2,Wish Dragon,Movie,Yes,"Jun 11, 2021",12,99
23-06-2021,4,6,6,Cocomelon,TV Show,,"Jun 1, 2020",243,851
23-06-2021,5,4,3,Sweet Tooth,TV Show,Yes,"Jun 4, 2021",19,163
23-06-2021,6,5,-,Ãlite,TV Show,Yes,"Oct 5, 2018",5,24
23-06-2021,7,9,-,The Worldâs Most Amazing Va…,TV Show,Yes,"Jun 18, 2021",3,9
23-06-2021,8,7,-,Black Summer,TV Show,Yes,"Apr 11, 2019",6,27
23-06-2021,9,8,5,Workinâ Moms,TV Show,Yes,"Feb 22, 2019",14,63
23-06-2021,10,-,7,Lucifer,TV Show,,"Dec 15, 2018",43,305
24-06-2021,1,2,1,Manifest,TV Show,,"Jun 10, 2021",14,132
24-06-2021,2,1,-,Fatherhood,Movie,Yes,"Jun 18, 2021",6,59
24-06-2021,3,-,-,Too Hot to Handle,TV Show,Yes,"Apr 17, 2020",16,96
24-06-2021,4,4,6,Cocomelon,TV Show,,"Jun 1, 2020",244,858
24-06-2021,5,3,2,Wish Dragon,Movie,Yes,"Jun 11, 2021",13,105
24-06-2021,6,-,-,Good on Paper,Movie,Yes,"Jun 23, 2021",1,5
24-06-2021,7,5,3,Sweet Tooth,TV Show,Yes,"Jun 4, 2021",20,167
24-06-2021,8,6,-,Ãlite,TV Show,Yes,"Oct 5, 2018",6,27
24-06-2021,9,7,-,The Worldâs Most Amazing Va…,TV Show,Yes,"Jun 18, 2021",4,11
24-06-2021,10,8,-,Black Summer,TV Show,Yes,"Apr 11, 2019",7,28
25-06-2021,1,1,1,Manifest,TV Show,,"Jun 10, 2021",15,142
25-06-2021,2,2,-,Fatherhood,Movie,Yes,"Jun 18, 2021",7,68
25-06-2021,3,3,-,Too Hot to Handle,TV Show,Yes,"Apr 17, 2020",17,104
25-06-2021,4,6,-,Good on Paper,Movie,Yes,"Jun 23, 2021",2,12
25-06-2021,5,4,5,Cocomelon,TV Show,,"Jun 1, 2020",245,864
25-06-2021,6,5,2,Wish Dragon,Movie,Yes,"Jun 11, 2021",14,110
25-06-2021,7,7,3,Sweet Tooth,TV Show,Yes,"Jun 4, 2021",21,171
25-06-2021,8,9,-,The Worldâs Most Amazing Va…,TV Show,Yes,"Jun 18, 2021",5,14
25-06-2021,9,10,7,Black Summer,TV Show,Yes,"Apr 11, 2019",8,30
25-06-2021,10,8,-,Ãlite,TV Show,Yes,"Oct 5, 2018",7,28
26-06-2021,1,-,-,The Ice Road,Movie,Yes,"Jun 25, 2021",1,10
26-06-2021,2,1,2,Manifest,TV Show,,"Jun 10, 2021",16,151
26-06-2021,3,2,1,Fatherhood,Movie,Yes,"Jun 18, 2021",8,76
26-06-2021,4,3,-,Too Hot to Handle,TV Show,Yes,"Apr 17, 2020",18,111
26-06-2021,5,4,-,Good on Paper,Movie,Yes,"Jun 23, 2021",3,18
26-06-2021,6,-,-,Sex/Life,TV Show,Yes,"Jun 25, 2021",1,5
26-06-2021,7,5,5,Cocomelon,TV Show,,"Jun 1, 2020",246,868
26-06-2021,8,6,3,Wish Dragon,Movie,Yes,"Jun 11, 2021",15,113
26-06-2021,9,7,4,Sweet Tooth,TV Show,Yes,"Jun 4, 2021",22,173
26-06-2021,10,8,-,The Worldâs Most Amazing Va…,TV Show,Yes,"Jun 18, 2021",6,15
27-06-2021,1,1,-,The Ice Road,Movie,Yes,"Jun 25, 2021",2,20
27-06-2021,2,2,2,Manifest,TV Show,,"Jun 10, 2021",17,160
27-06-2021,3,3,1,Fatherhood,Movie,Yes,"Jun 18, 2021",9,84
27-06-2021,4,6,-,Sex/Life,TV Show,Yes,"Jun 25, 2021",2,12
27-06-2021,5,5,-,Good on Paper,Movie,Yes,"Jun 23, 2021",4,24
27-06-2021,6,4,-,Too Hot to Handle,TV Show,Yes,"Apr 17, 2020",19,116
27-06-2021,7,7,7,Cocomelon,TV Show,,"Jun 1, 2020",247,872
27-06-2021,8,8,3,Wish Dragon,Movie,Yes,"Jun 11, 2021",16,116
27-06-2021,9,10,-,The Worldâs Most Amazing Va…,TV Show,Yes,"Jun 18, 2021",7,17
27-06-2021,10,9,4,Sweet Tooth,TV Show,Yes,"Jun 4, 2021",23,174
28-06-2021,1,1,-,The Ice Road,Movie,Yes,"Jun 25, 2021",3,30
28-06-2021,2,2,2,Manifest,TV Show,,"Jun 10, 2021",18,169
28-06-2021,3,3,1,Fatherhood,Movie,Yes,"Jun 18, 2021",10,92
28-06-2021,4,4,-,Sex/Life,TV Show,Yes,"Jun 25, 2021",3,19
28-06-2021,5,5,-,Good on Paper,Movie,Yes,"Jun 23, 2021",5,30
28-06-2021,6,6,-,Too Hot to Handle,TV Show,Yes,"Apr 17, 2020",20,121
28-06-2021,7,7,7,Cocomelon,TV Show,,"Jun 1, 2020",248,876
28-06-2021,8,9,8,The Worldâs Most Amazing Va…,TV Show,Yes,"Jun 18, 2021",8,20
28-06-2021,9,8,3,Wish Dragon,Movie,Yes,"Jun 11, 2021",17,118
